file,caption,length,duration_seconds,size_mb,resolution,rotation,recorded_create_date,download_modified,device,video_file_id,video_url,audio_file,audio_format,audio_size_mb,audio_file_id,audio_url,has_video,has_audio
IMG_7799.MOV,Kirby gourmet race,14:16,856.4,906.5,1920 x 1080,180,2026-05-31 16:07:53,2026-05-31 21:39:21+09:00,Apple iPhone 14 Pro,12-GpyyJrgOj_zn1Hjh9_2AUVUcNviePL,https://drive.google.com/file/d/12-GpyyJrgOj_zn1Hjh9_2AUVUcNviePL/view?usp=drivesdk,IMG_7799.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",32.9,1248yjCdqedagurJcUKL1JksDu1U0euKl,https://drive.google.com/file/d/1248yjCdqedagurJcUKL1JksDu1U0euKl/view?usp=drivesdk,yes,yes
IMG_7798.MOV,Bob omb battlefield?,4:04,243.7,259.8,1920 x 1080,180,2026-05-31 16:07:42,2026-05-31 21:35:16+09:00,Apple iPhone 14 Pro,1u6F-M6PoIZIkTFIMYeQsL_QqSMh6PSOD,https://drive.google.com/file/d/1u6F-M6PoIZIkTFIMYeQsL_QqSMh6PSOD/view?usp=drivesdk,IMG_7798.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",9.6,1hHXpL2XvvZBruledXwCtkcFtENgZ4QBc,https://drive.google.com/file/d/1hHXpL2XvvZBruledXwCtkcFtENgZ4QBc/view?usp=drivesdk,yes,yes
IMG_7797.MOV,Splatoon?,2:32,152.1,162.5,1920 x 1080,180,2026-05-31 16:07:41,2026-05-31 21:32:43+09:00,Apple iPhone 14 Pro,1zgfHpUr9qhLyhHcJyLhkAeR_W_8d6vp4,https://drive.google.com/file/d/1zgfHpUr9qhLyhHcJyLhkAeR_W_8d6vp4/view?usp=drivesdk,IMG_7797.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",6.1,1t-gAFmmkVjbAcnVyjbFyEdB-7HxMe7Br,https://drive.google.com/file/d/1t-gAFmmkVjbAcnVyjbFyEdB-7HxMe7Br/view?usp=drivesdk,yes,yes
IMG_7796.MOV,Beneath the mask,9:48,587.6,623.1,1920 x 1080,180,2026-05-31 16:07:32,2026-05-31 21:21:21+09:00,Apple iPhone 14 Pro,1Q4fNe5kQNkJjwD0hHKIL1ujajWb8PdHN,https://drive.google.com/file/d/1Q4fNe5kQNkJjwD0hHKIL1ujajWb8PdHN/view?usp=drivesdk,IMG_7796.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",22.9,1RtDZ1FsUvYuMTdjKyvtIJLdpvKD_KRXD,https://drive.google.com/file/d/1RtDZ1FsUvYuMTdjKyvtIJLdpvKD_KRXD/view?usp=drivesdk,yes,yes
IMG_7795.MOV,no embedded caption found,0:27,26.8,28.7,1920 x 1080,90,2026-05-31 12:19:31,2026-05-31 21:19:31+09:00,Apple iPhone 14 Pro,,,IMG_7795.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",1.0,1OTGX0HVEQG2m-gpjB5Js-Xvjkei8TQRp,https://drive.google.com/file/d/1OTGX0HVEQG2m-gpjB5Js-Xvjkei8TQRp/view?usp=drivesdk,no,yes
IMG_7794.MOV,Megalovania,5:21,321.0,337.6,1920 x 1080,90,2026-05-31 16:07:29,2026-05-31 21:14:09+09:00,Apple iPhone 14 Pro,1D50v1bqzqLsTWksaLP4PtcGmIY-44_k4,https://drive.google.com/file/d/1D50v1bqzqLsTWksaLP4PtcGmIY-44_k4/view?usp=drivesdk,IMG_7794.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",13.0,1lu5T12_6HBRQWbPf_rgr8C3KC3PuFK2b,https://drive.google.com/file/d/1lu5T12_6HBRQWbPf_rgr8C3KC3PuFK2b/view?usp=drivesdk,yes,yes
IMG_7793.MOV,Dragon roost island,5:57,356.6,375.6,1920 x 1080,90,2026-05-31 16:07:26,2026-05-31 20:58:09+09:00,Apple iPhone 14 Pro,1iOria9MLbQKZFnn5PqK-XXKSz8DgQAKn,https://drive.google.com/file/d/1iOria9MLbQKZFnn5PqK-XXKSz8DgQAKn/view?usp=drivesdk,IMG_7793.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",13.9,1cBpcBopGl2yvx2yPy5RtH8HFlYJQw_z7,https://drive.google.com/file/d/1cBpcBopGl2yvx2yPy5RtH8HFlYJQw_z7/view?usp=drivesdk,yes,yes
IMG_7792.MOV,Zelda smth?,6:36,396.4,417.2,1920 x 1080,90,2026-05-31 16:07:23,2026-05-31 20:49:25+09:00,Apple iPhone 14 Pro,1L1UfybId5EQFM3bbsqfuv3Syq2m-q5au,https://drive.google.com/file/d/1L1UfybId5EQFM3bbsqfuv3Syq2m-q5au/view?usp=drivesdk,IMG_7792.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",15.8,13zN8EZRS7_O_SLdZz4vD79Qrq_lsmF46,https://drive.google.com/file/d/13zN8EZRS7_O_SLdZz4vD79Qrq_lsmF46/view?usp=drivesdk,yes,yes
IMG_7791.MOV,Mario kart circuit?,4:48,288.2,303.6,1920 x 1080,90,2026-05-31 16:07:16,2026-05-31 20:42:12+09:00,Apple iPhone 14 Pro,18D9iWiAp7jnYcu5NJsnT3CtqhRkvIlvT,https://drive.google.com/file/d/18D9iWiAp7jnYcu5NJsnT3CtqhRkvIlvT/view?usp=drivesdk,IMG_7791.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",11.5,1Igl0UALi0Y8lNRHTZrsQEquhPwPUICu0,https://drive.google.com/file/d/1Igl0UALi0Y8lNRHTZrsQEquhPwPUICu0/view?usp=drivesdk,yes,yes
IMG_7790.MOV,Mario kart Bowser?,5:38,338.0,355.3,1920 x 1080,90,2026-05-31 16:07:10,2026-05-31 20:35:56+09:00,Apple iPhone 14 Pro,1E_PEZ3804pyO46Sy4kKm7sHwH-rGlMLB,https://drive.google.com/file/d/1E_PEZ3804pyO46Sy4kKm7sHwH-rGlMLB/view?usp=drivesdk,IMG_7790.m4a,"AAC (.m4a), 320 kbps target, 48 kHz stereo",13.3,1jMtudQecokrnC0LnpSsnv-40BbkYXgwJ,https://drive.google.com/file/d/1jMtudQecokrnC0LnpSsnv-40BbkYXgwJ/view?usp=drivesdk,yes,yes
